,HPTN 084,TDF2,Partners,Voice,FEM
0-10,-8.058643359331741,-2.396620583770526,-6.559860500965462,-0.514633834641094,0.27462832134048604
10-20,-6.605239079777848,-2.0022872514944163,-5.718879495875757,-0.4915554224725986,0.19975072128676755
20-30,-5.205293723229224,-1.5634940451858426,-4.880711883830347,-0.4612141526922778,0.10309841311987436
30-40,-3.85845439471727,-1.12383290008988,-4.004680419918222,-0.404178043796217,-0.01759777034237329
40-50,-2.5771256913126264,-0.6599640788764893,-3.111442787974047,-0.33627945175765367,-0.15640748513687486
50-60,-1.3925373721281873,-0.15430199323677776,-2.067641811664946,-0.28746311691196236,-0.2949758872261584
60-70,-0.3451642328625015,0.3198904027890664,-0.9713712785832543,-0.23702349791180133,-0.4380153900789503
70-80,0.4980130002153716,0.7829376206574016,0.19681257871087487,-0.21811421584610377,-0.5097644176527892
80-90,1.1220489028238723,1.1146179471838047,1.4276303441096412,0.03194058505719078,-0.3020220675569626
90-100,3.274682373072237,1.466276448198492,3.464464533502561,1.6815982278103203,0.7588326376012272
